organization_name,parent_id,address,tax_id,Email,web_url,phone,cause,about_us,our_activity,why_us,Photos,address1,phone2,irs_rank,fb_url,event1,event2,event3,submission_date
Tau Beta Pi Michigan Alpha Chapter Michigan State University,0,5050 ANTHONY WAYNE DR DETROIT, MI 48202,23-7050983,engadmissions@wayne.edu,www.egr.msu.edu/tbp/links.html,313-577-3780,Education,Tau Beta Pi is the national engineering honor society,The Wayne State University College of Engineering improves quality of life through engineering and computer science education, research innovation and entrepreneurship,These state-of-the-art facilities, combined with cutting-edge research and strong academics, have allowed the college to become a key player in Michigan???s transition from a manufacturing economy to a strong, effective and diversified high tech global marketplace,Photo save,NA,NA,This organization is required to file an IRS Form 990-N,https://www.facebook.com/WayneStateEng/,Wayne State University College of Engineering does not have any upcoming events,NA,NA,NA
The Ark Association - Detroit,0,"PO BOX 13280 DETROIT , MI 48213",02-0795267,butlerklodian@hotmail.com,www.thearkassociation.org,313-460-2709,Youth Development,Nonprofit Organization,"Our organization's mission is dedicated to developing programs to assist people from the community with physical, mental, financial and addictive challenges in becoming more productive members of society through direct assistance, referrals, advocacy and public awareness. ","There are many needs out on the streets; however, just a penny a day will help prepare a meal which makes all the difference to a hungry person. When that person is nourished, he or she is able to think about more than the immediate need of eating. This allows the individual the ability to take the next step toward the door of opportunity. Your donation allows us to be your ambassadors on the street with a message of hope for new beginnings and a a brighter tomorrow.",Photo save,"4270 E. Outer Drive Detroit, Michigan 48213-3289",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/people/The-Ark-Association/48807408829,EVERY SATURDAY TAKIN' IT TO THE STREETS Outreach to our friends who are homeless! We meet at 1:45 p.m. at Roosevelt Park in Detroit located at Michigan Avenue & W. Vernor Hwy just in front of the Michigan Central Train Depot,"The 10th ANNUAL DANIEL DOYLE MEMORIAL RUN SEPTEMBER 24TH MARK YOUR CALENDARS NOW!!! PRIZES, AWARDS, AND LUNCH JOIN US FOR THIS FUN RUN THROUGH THE CITY STREETS OF DETROIT AND ALONG THE RIVER! Proceeds will go to the Daniel Doyle Community Resource Center.",NA,NA
"GROWING HOPE, INC.",0,"PO Box 980129 Ypsilanti, MI 48198 USA",74-3091845,amanda@growinghope.net,www.growinghope.net,734-707-7442,"Agriculture, Food, Nutrition","In 1999 the Perry Learning Garden was established in Ypsilanti, MI to bring garden-based learning to young people at the Perry Child Development Center and in the surrounding neighborhood.","Growing Hope helps people improve their lives and communities through gardening and increasing access to healthy food. You???ll find us working to educate, inspire, and empower the community ??? in schools, at our urban farm, at our farmers markets, in our downtown Ypsilanti retail shop, and around southeast Michigan.","Volunteers of all ages are an integral part of Growing Hope, and they support every angle of the organization???s work at all times of the year. Volunteers make the positive impact that we have on communities a possibility.",Photo save,"922 West Michigan Ave Ypsilanti, MI 48197",NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/ypsiplanti/about/?ref=page_internal,"Spring Fundraiser with Ypsi Food Awards, 4/14/2018, 5:00 pm - 8:00 pm, MarketPlace Hall, 16 South Washington Street Ypsilanti, MI 48197 United States ","Indoor Farmers Market, 3/13/2018, 3:00 pm - 7:00 pm, MarketPlace Hall, 16 South Washington Street Ypsilanti, MI 48197 United States ","Industry Night: Event Space Preview,  March 26 @ 4:00 pm - 7:00 pm ",NA,
MIDWEST RESOURCE DEVELOPMENT AGENCY INC,0,"440 BURROUGHS STREET SUITE 614, DETROIT, MI 48202",26-3165353,admin@midwestrda.org,www.midwestrda.org,248-212-9022,Youth Development,A non-profit organization,"Our mission at Midwest Resource Development Agency, a non-profit organization, is to promote the public welfare within the community by launching or administering programs which are designed to combat the issues of poverty",Midwest Resource Development Agency allows members of the community to partner with us to help make a difference. We understand the importance of community involvement and want you to take the opportunity to experience the great feeling of giving back,Photo save,NA,248-595-2666,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/Midwest-Resource-Development-Agency-284828434014/,MIDWEST RESOURCE DEVELOPMENT AGENCY INCNo Event mentionedNANANANANAYouth Development,NA,NA,27/11/2017
Demolay International,0,"10200 NW Ambassador Drive
Kansas City, MO 64153",43-1722585,demolay@demolay.org,www.demolay.org,800-336-6529,other state,"DeMolay is the premier youth leadership organization building young men of character and dedicated to making young men better people and leaders. Providing a program based on timeless principles and practical experience, DeMolay strives to not only create the extraordinary leader, but a leader of character.","A DeMolay is honest and accepting of others from all backgrounds. He maintains health in his spirit, mind, and body by striving to improve and represent the seven core values of DeMolay. Love of Parents, Reverence, Courtesy, Comradeship, Fidelity, Cleanness, Patriotism, Personal Development",NA,Photo save,NA,816-891-8333,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/DeMolay.International/,DeMolay International does not have any upcoming events.,NA,NA,27/11/2017,
South Haven Rocket Football League,0,"P.O Box 132 South Haven, MI 49090",26-4166285,southhavenrocketfootballleague@gmail.com,http://www.southhavenrocketfootball.com,999-999-9999,Youth Development,"Our goal is to teach the fundamentals of football and cheer, the importance of teamwork, and most of all to have fun","Teach the fundamentals of football and cheer, the importance of teamwork, and most of all to have fun. The coaches will stress self-discipline, concentration, friendship, leadership, and good sportsmanship. Safety is our primary concern.",We will help develop new skills and confidence for each player who participates in the SHRF program,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/southhavenrocketfootball/,There are no upcoming non-game events.,NA,NA,27/11/2017
Marquette Bmx Inc,0,"127 WINTERGREEN TRL
MARQUETTE, MI 49855",26-3925557,marquettebmxMI@gmail.com,www.marquettebmx.com,906-360-2446,Youth Development,BMX racing will give you that rush of adrenaline you've been looking for.,"To realize the total thrill that BMX gives a rider, you really need to experience it.  With over 300 BMX tracks located all around the country, there is surely a USA BMX facility near you.  Once you try BMX racing, we practically guarantee you'll be hooked for life.",Be a part of something special and help make a difference in the lives of the kids & families at your local track.,Photo save,NA,906-362-7798,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/Marquette-BMX-194173953958544,NA,NA,NA,27/11/2017,
Kiwanis of Whitmore Lake Auxiliary ,0,"PO BOX 85
WHITMORE LAKE, MI 48189",27-2521379,Info@KiwanisofWhitmoreLake.org,http://www.whitmorelakekiwanis.org/,NA,Youth Development,Kiwanis Club of Whitmore Lake is a community organization that holds service and community in high regard,"We believe in improving our world one child, one community at a time. Our goal and mission, since inception, is to instill leadership into children and to engage our community to build a brighter future. ","Key Club members also learn leadership skills by running meetings, planning projects and holding elected leadership position in the club.",Photo save,"9101 Main Street in Whitmore Lake, MI  48189",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pg/KiwanisRummageSale/photos/?ref=page_internal,NA,NA,NA,27/11/2017,
Michigan State University JONES ROUGH RIDERS 4-H CLUB,0,"1287J Anthony Hall
East Lansing, MI 48824-1111",38-1539997,kwaite@msu.edu,www.msue.anr.msu.edu,517-353-1748,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,"Justin S. Morrill Hall of Agriculture 446 West Circle Drive, Room 160
East Lansing, MI 48824 USA",517-355-2308,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",27/11/2017,
Michigan State University SITTING TALL 4h,0,"1715 Lansing Ave Ste 257, Jackson, MI 49202",38-3706452,msue.jackson@county.msu.edu,www.msue.anr.msu.edu,517-788-4292,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,http://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",27/11/2017,
Finally United Corporation,0,"14 East Judson St Pontiac, MI",47-0881741,NA,NA,248-334-3856,Youth Development,Urban Planning and Consulting Services,Community Development,NA,NA,"PO BOX 401634, REDFORD, MI 48240",NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,27/11/2017,
Michigan State University Walton wonders 4h,0,"551 Courthouse Drive #1. Charlotte, MI 48813",47-0897448,msue.eaton@county.msu.edu,www.msue.anr.msu.edu,517-543-2310,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,888-678-3464,This organization is required to file an IRS Form 990-N.,http://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",27/11/2017,
