Saint John Community Center,0,14320 Kercheval St Detroit  MI 48215 ,38-3390375,NA,NA,313-824-2248,Human Service,Non profit organization,to provide food and shelter for the homeless of Detroit,NA,Photo save,NA,313-823-8323,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/St-John-Congregational-Church/113458992021930,NA,NA,NA,27/2/2018
CENTRO MULTICULTURAL LA FAMILIA INC,0,35 W Huron Suite 500 Pontiac  MI 48342 USA,20-8900737,sacosta@centromulticultural.org,www.centromulticultural.org,248-858-7800,Human Service,We are a private  not-for-profit  mission-driven organization that provides comprehensive services to a diverse community. While most of the clients we serve now are of Hispanic descent  we strive to offer services to a broader cultural community.,To provide culturally competent support services to families in a holistic approach in order to improve their quality of life,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/centromulticultural,Centro Multicultural La Familia does not have any upcoming events.,NA,NA,27/2/2018
Urban Neighborhood Initiatives Inc,0,8300 LONGWORTH ST DETROIT   MI 48209 ,38-3417161,NA,WWW.DNIDETROIT.ORG,313-841-4447,Human Service,ONI ENGAGES IN COMPREHENSIVE ACTION TO ADDRESS HUMAN AND COMMUNITY DEVELOPMENT. INDIVIDUALS AND  FAMILIES ARE ENTHUSED AS THEY PROSPER AND BECOME ENCOURAGED TO INVEST IN THEIR HOMES AND COMMUNITIES.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,27/2/2018
First Ward Community Service,0,1410 N 12TH STREET SAGINAW  MI 48601 ,38-1367311,cdalton@firstward.us,WWW.FIRSTWARD.US,989-753-0411,Human Service,First Ward Community Service a 501 (c) 3  non-profit organization is celebrating its 85th year in the Saginaw community. We are so excited to reach this milestone and celebrate all of its accomplishments throughout these 85 years.,THE MISSION OF FIRST WARD COMMUNITY SERVICE IS TO POSITIVELY INFLUENCE THE LIVES OF PEOPLE IN OUR COMMUNITY  BY FOCUSING ON LOW-MODERATE INCOME FAMILIES AND SENIORS. WE ADDRESS SOCIAL AND BEHAVIORAL NEEDS TO CHANGE THE ENVIRONMENT. WE PROVIDE PREVENTION EDUCATION AND RECREATION  WHICH IMPROVES QUALITY OF LIFE AND PROMOTES HEALTHY LIVING. OUR MISSION IS FUNDED THROUGH FUND DEVELOPMENT  FOUNDATIONS  INDIVIDUALS  FEDERAL  STATE AND LOCAL FINANCIAL INSTITUTIONS AND SPECIAL EVENTS. THE KEY TO OUR SUCCESS IS COLLABORATING WITH COMMUNITY PARTNERS TO OPTIMIZE PROGRAMS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/FirstWard1410/about/?ref=page_internal,First Ward Community Service does not have any upcoming events.,NA,NA,27/2/2018
Beatrice & Reymont Paul Foundation,0,5912 Shillingham Dr W Bloomfield   MI 48322 ,20-1279991,team@paulfoundation.org,WWW.PAULFOUNDATION.ORG,NA,Human Service,The Beatrice and Reymont Paul Foundation was established in 2004. The Foundation brings people and resources together in the areas of medicine  education  community and culture. Our mission is to provide economic and strategic support along with consultancy to organizations.,To provide economic and strategic support along with consultancy to organizations. We believe this type of partnership is an essential role of philanthropy and a critical element for the sustainability of the organizations we support. We bring people and resources together to create the extraordinary!,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Beatrice-Reymont-PAUL-Foundation-1886263684954332/,NA,NA,NA,27/2/2018
My Beloved Group Home,0,24260 RADCLIFT ST OAK PARK   MI 48237 ,35-2401568,mybelovedhome@aol.com,www.mybelovedgrouphome.com,248-470-0063,Human Service,My Beloved Group Home is a non-profit organization that prides itself on serving a diverse community of individuals.  Our goal is to encompass supervised quality care with independence.  We work in conjunction with physicians  case managers  family/friends  and most of all the client. ,TO PROVIDE A STABLE AND SAFE ENVIRONMENT FOR THOSE CONSUMERS WHO DESIRE TO LIVE INDEPENDENTLY BUT REQUIRE SUPERVISION TO PROVIDE SERVICES TO THE MENTALLY ILL  DEVELOPMENTALLY HANDICAPPED  ALZEIMERSVICTIMS. THIS ENVIRONMENT WILL HELP PROMOTE PHYSICAL  EMOTIONAL AND SOCIAL SKILL.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/My-Beloved-Group-Home-877678008975966/,NA,NA,NA,27/2/2018
Lifelong Advocacy Inc,0,43970 N GRATIOT AVE CLINTON TWP   MI 48036 ,45-2856633,dwitherow@lifelongadvocacy.org,WWW.LIFELONGADVOCACY.ORG,586-846-2457,Human Service,LifeLong ADVOCACY is a 501c3 non-profit agency serving as a 3rd party billing agency that processes payroll for consumers who participate in the Self-Determination program. By doing so at a high and efficient level  we like to think that we enrich the lives of the population that we serve.,TO PROVIDE FISCAL INTERMEDIARY SERVICES FOR INDIVIDUALS WITH DEVELOPMENTAL DISABILITIES WITHIN THE PARAMETERS OF STATE AND FEDERAL LAWS AND REGULATIONS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,There are no events scheduled during this period.,NA,NA,27/2/2018
The Youth Connection Inc,0,4777 E OUTER DR DETROIT   MI 48234 ,02-0647494,info@theyouthconnection.org,www.theyouthconnection.org,313-826-7099,Human Service,The Youth Connection  a private non-profit agency  connects our youth to a brighter future. We work to increase participation in after-school programs and provide year-round opportunities for youth to explore careers and develop job skills.,We are committed to provide high quality programs  advocacy and supportive services. We connect youth  young adults and their families in Metro Detroit to resources and opportunities that enrich their lives with special attention to those who are underserved.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/TYCDetroit,The Youth Connection does not have any upcoming events.,NA,NA,27/2/2018,
North Ottawa County Council On Aging,0,422 Fulton Ave. Grand Haven  MI 49417 ,38-1915121,noccoa@noccoa.org,www.noccoa.org,616-842-9210,Human Service,Non profit organization,Promote and safeguard the independence and well-being of individuals 60 and older living in northern Ottawa County  Michigan.,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/North-Ottawa-County-Council-On-Aging-155539154486737/about/?ref=page_internal,NA,NA,NA,27/2/2018,
Eaton Community Hospice Inc,0,2675 S COCHRAN RD CHARLOTTE   MI 48813 ,38-2485125,echospice@voyager.net,WWW.ECHOSPICE.ORG,517-543-5310,Human Service,Eaton Community Palliative Care exists to provide 24-hour per day compassionate  physical care for terminally ill persons in a residential setting  complemented by emotional and spiritual support for the patient and their loved ones  enabling death with dignity.,TO PROVIDE PHYSICAL  EMOTIONAL AND SPIRITUAL SUPPORT TO TERMINALLY ILL PATIENTS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,27/2/2018,
Garden City Opportunity Manor A Non Profit Housing Corp,0,14147 FARMINGTON RD LIVONIA  MI 48154 ,38-2496285,NA,WWW.cocliving.com,734-422-1020,Human Service,The COC Board of Directors  administrative leadership  and staff are committed to effectively guiding and assisting persons with developmental disabilities to maintain equality  integrity  and respect throughout their lives.,TO PROVIDE QUALITY HOUSING AND COMPREHENSIVE SUPPORT FOR PERSONS WITH DEVELOPMENTAL DISABILITIES AND TO PROVIDE ASSISTANCE AND ADVOCACY TO HELP THEM BECOME INDEPENDENT CITIZENS INVOLVED IN THEIR COMMUNITY.,As individuals age  COC often finds itself self-funding the extra staff and services they need. As such  fundraising is necessary to ensure that COC has the resources we need to properly serve each person we support. COC is a non-profit  501(c) (3) organization providing support to people with mental retardation and other developmental disabilities.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/Community-Opportunity-Center/139919749396764,NA,NA,NA,27/2/2018,
Drop-in Self-Help Center,0,120 Grove St Battle Creek  MI 49037 USA,38-3022871,NA,NA,269-966-9050,Human Service,Non profit organization,The mission of the SHARE Center is to promote whole person wellness with vulnerable individuals in Calhoun County through recovery oriented support services including a drop in resource center and peer support services. We provide a safe  mutually-supportive environment to improve and cultivate a productive quality of life by fostering hope  community inclusion and independence.,NA,Photo save,NA,269-964-8133,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/Share-Center/103994203000433,NA,NA,NA,27/2/2018,
Metropolitan Detroit Center for Independent Living,0,5555 CONNER ST STE 2224 DETROIT   MI 48213 ,32-0171869,NA,WWW.DNWAYNE.ORG,313-923-1655,Human Service,DNWCD is the Center for Independent Living (CIL) helping people w/disabilities in Wayne County  MI to live independently and to self-advocate.,THE DISABILITY NETWORK/WAYNE COUNTY-DETROIT IS A CONSUMER DRIVEN ORGANIZATION DEDICATED TO MAXIMIZING THE ABILITY OF PERSONSWITH DISABILITIES TO LIVE AS INDEPENDENTLY AS THEY CHOOSE. WE ENCOURAGE FULL PARTICIPATION IN THE EVERYDA ACTIVITIES OF LIVING BY PROVIDING A NURTUR AND SUPPORTIVE ENVIRONMENT, ADVOCATING FOR AN INCLUSIVE COMMUNITY, SERVING AS A COMMUNITY RESOURCE,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/Disability-NetworkWayne-County-Detroit-194224288319/about/?ref=page_internal, AND PROVIDING A UNIFIED VOICE TO THE COMMUNITY.,NA,Photo save,Disability Network/Wayne County-Detroit does not have any upcoming events.,
Supportive Alternative Living,0,PO Box 385 Milford  MI 48381 ,38-2885638,info.sal.milford@gmail.com,www.sal-milford.org,248-685-2639,Human Service,Fundraising to support a community of individuals that have developmental disabilities; SAL provides love  respect and dignity;,PROVIDE OPERATION AND SUPERVISION OF ADULT FOSTER CARE FACILITIES THAT PROVIDE HOUSING FOR DEVELOPMENTALLY DISABLED ADULTS.,NA,Photo save,425 West Huron  Suite 130 Milford  Michigan,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/Supportive-Alternative-Living-1378594845790789/about/?ref=page_internal,Supportive Alternative Living does not have any upcoming events.,NA,NA,27/2/2018,
G W Homeless Services of Northern Michigan Inc,0,2279 S AIRPORT RD W TRAVERSE CITY   MI 49684 ,61-1455416,marketing@goodwillnmi.org,WWW.GOODWILLNMI.ORG,231-922-4805,Human Service,Goodwill is a 501(c)3 non profit organization who strives to develop programs and services that improve peoples lives by fostering self-sufficiency  a hand up  not a hand out.,Homeless and Housing Services: Goodwill Inn Homeless Shelter  Street Outreach  Veterans Transitional Housing Community  Housing Support Services. Other programs: Workers on Wheels car donation program  SSDI/SSI Appeals program  Paperworks Studio  Food Services  Job Placement and Employment Support Services and Case management services.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,www.facebook.com/Goodwillnmi,POWER OF THE PURSE  March 10  9:30 am  Benefitting women and children at the Goodwill Inn.,THE DERBY PARTY ??? May 5  4:30 pm ??? 8:00 pm Benefitting Food Rescue.,RUN FOR SHELTER 5K ??? June 23  9:00 am ??? Noon Benefitting the Goodwill Inn.,27/2/2018,
Quality Living Inc,0,PO Box 9 Holly  MI 48442 ,38-2979742,NA,NA,NA,Human Service,Non profit organization,HOUSING FOR DEVELOPMENTALLY DISABLED,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,27/2/2018,
Arc of Midland,0,220 W MAIN ST STE 102 MIDLAND  MI 48640 ,38-1877764,arcadmin@thearcofmidland.org,www.thearcofmidland.org,989-631-4439,Human Service,The Arc of Midland is a nonprofit organization which promotes the general welfare of people with developmental disabilities and increases their presence  participation and inclusion in the community.,The ARC of Midland promotes the general welfare,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/thearcofmidland/,Arc Stroll  Roll & 5k Run/Walk  Saturday  June 9 at 9 AM - 12 PM EDT  400 S Badour Rd  Midland  Michigan 48640,NA,NA,27/2/2018,
